url,name,cost_text,rooms,parking,desc
https://www.domain.com.au/119-121-palmerston-street-carlton-vic-3053-16902540,"119-121 Palmerston Street, Carlton VIC 3053","$2400 PW / $10,428 PCM","4 Beds, 4 Baths",1 Parking,* Unverified feature
https://www.domain.com.au/6-crimea-street-st-kilda-vic-3182-17178025,"6 Crimea Street, St Kilda VIC 3182","$2,400.00","4 Beds, 2 Baths",2 Parking,Neil Harris
https://www.domain.com.au/70-bendigo-drive-tarneit-vic-3029-17179293,"70 Bendigo Drive, Tarneit VIC 3029",$549/week,"4 Beds, 2 Baths",1 Parking,"Welcome to 70 Bendigo Drive, Tarneit - a stunning, brand-new double-story home, perfectly positioned to meet the needs of a starting family."
https://www.domain.com.au/112-beaconsfield-parade-albert-park-vic-3206-17152538,"112 Beaconsfield Parade, Albert Park VIC 3206","$2,350.00","3 Beds, 2 Baths",− Parking,Kerttu  Luik
https://www.domain.com.au/8-glendora-avenue-brighton-vic-3186-17107347,"8 Glendora Avenue, Brighton VIC 3186",$2350 Per Week,"3 Beds, 2 Baths",2 Parking,An inspiring Spanish-Mission-style home that has undergone a dramatic architectural transformation while retaining the charm of its era. It offers a perfect blend of historic aesthetics and contemporary functionality.
https://www.domain.com.au/35-cochrane-street-brighton-vic-3186-17132071,"35 Cochrane Street, Brighton VIC 3186","$2,350.00","5 Beds, 3 Baths",2 Parking,"This stunning 5-bedroom home exudes contemporary charm. Perfect for entertaining and relaxed family living. Situated in the heart of Brighton and only moments from exclusive schools including Firbank Grammar School and Brighton Grammar School. Walking distance to Bay and Church Street, the beach, North Brighton train station, parks and reserves. Easy access to Nepean Highway, Melbourne CBD"
https://www.domain.com.au/3642-point-nepean-road-portsea-vic-3944-16980456,"3642 Point Nepean Road, Portsea VIC 3944",$2700 Per Week,"4 Beds, 2 Baths",1 Parking,TariltaOnce in a lifetime opportunity to lease this magnificentcaptivating cliff top residence positioned in the middle of Portsea's private and best; Shelley Beach.
https://www.domain.com.au/12-riverview-road-essendon-vic-3040-17144650,"12 Riverview Road, Essendon VIC 3040",$2280pw / $9907pcm,"5 Beds, 2 Baths",4 Parking,* Unverified feature
https://www.domain.com.au/54-carpenter-street-brighton-vic-3186-17186367,"54 Carpenter Street, Brighton VIC 3186","$2,250.00","4 Beds, 4 Baths",2 Parking,Cameron  Gibson
https://www.domain.com.au/53-durrant-street-brighton-vic-3186-17034885,"53 Durrant Street, Brighton VIC 3186","$2,250 pw","5 Beds, 4 Baths",2 Parking,This beautifully presented double story property set in the heart of Brighton combines a spacious modern interior with a versatile floor plan and an abundance of natural light. The convenience of having the renowned Bay Street shopping/dining precinct and North Brighton train Station moments away is second to none.
https://www.domain.com.au/7-exon-street-brighton-vic-3186-17174057,"7 Exon Street, Brighton VIC 3186",$2250 pw,"4 Beds, 2 Baths",2 Parking,Megan Taylor
https://www.domain.com.au/451-truemans-road-boneo-vic-3939-17069623,"451 Truemans Road, Boneo VIC 3939","$2,200.00","6 Beds, 5 Baths",3 Parking,"Escape to a tranquil Mediterranean haven where Truemans Estate, awaits to envelop you in its serene charm. Enter into another realm via the gently undulating, tree-lined driveway that culminates in a spectacular reveal, where this elegant six-bedroom single-level residence is nestled amidst the embrace of soaring pencil pines and the beauty of absolute seclusion."
https://www.domain.com.au/64-north-rd-brighton-vic-3186-17184510,"64 North Rd, Brighton VIC 3186",$2200 per week,"4 Beds, 2 Baths",2 Parking,* Unverified feature
