url,name,cost_text,rooms,parking,desc,schools
https://www.domain.com.au/3-9-peter-court-dandenong-vic-3175-17184237,"3/9 Peter Court, Dandenong VIC 3175",$380 per week,"2 Beds, 1 Bath",1 Parking,"This 2 bedroom unit is located in a perfect location and features 2 bedrooms both with built in robes, carpet to bedrooms, lounge with timber floors and kitchen and bathroom with ceramic tiles. The kitchen features an electric oven and a stove with room for a small dining table.",N/A
https://www.domain.com.au/6-wedge-street-dandenong-vic-3175-17137721,"6 Wedge Street, Dandenong VIC 3175",$380 per week,"3 Beds, 1 Bath",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/160-cleeland-street-dandenong-vic-3175-16975202,"160 Cleeland Street, Dandenong VIC 3175",$350 per week (Includes Utilities),"1 Bed, 1 Bath",− Parking,* Unverified feature,N/A
https://www.domain.com.au/2-64-potter-street-dandenong-vic-3175-14563984,"2/64 Potter Street, Dandenong VIC 3175",$350,"2 Beds, 1 Bath",3 Parking,* Unverified feature,N/A
https://www.domain.com.au/4-8-29-hutton-street-dandenong-vic-3175-17132384,"4 & 8/29 Hutton Street, Dandenong VIC 3175",$285 per week,"1 Bed, 1 Bath",− Parking,* Unverified feature,N/A
https://www.domain.com.au/5-74-jones-road-dandenong-vic-3175-17179554,"5/74 Jones Road, Dandenong VIC 3175",$250 per week,"1 Bed, 1 Bath",− Parking,This recently renovated shared accommodation is clean and tidy.,N/A
https://www.domain.com.au/5-35b-ronald-street-dandenong-vic-3175-17062876,"5/35B Ronald Street, Dandenong VIC 3175",$200 per week,"1 Bed, 1 Bath",− Parking,* Unverified feature,N/A
https://www.domain.com.au/21-rodd-street-dandenong-vic-3175-16894157,"21 Rodd Street, Dandenong VIC 3175",$200,"1 Bed, 1 Bath",− Parking,"Located in the central Dandenong, easy access to Dandenong Plaza, Dandenong market, Train Station and all amenities.",N/A
https://www.domain.com.au/43-benga-avenue-dandenong-vic-3175-15412681,"43 Benga Avenue, Dandenong VIC 3175",$190 per week,"1 Bed, 1 Bath",− Parking,* Unverified feature,N/A
https://www.domain.com.au/27-ian-street-noble-park-vic-3174-12153626,"27 Ian Street, Noble Park VIC 3174","$1,500 mth INC GST + O/GS","0 Beds, 1 Bath",− Parking,Retail space available for lease in mixed business street.,N/A
https://www.domain.com.au/46-princeton-drive-keysborough-vic-3173-17176179,"46 Princeton Drive, Keysborough VIC 3173",$1000 per week,"4 Beds, 2 Baths",2 Parking,* Unverified feature,N/A
